job_id,company,role,wage,barrier_level,background_check,fair_chance,hiring_process,verified,key_pro,key_con,employee_sentiment
1,Amazon Customer Service,Remote Customer Service Associate,$15-$17/hr starting,Low - No experience required,"Yes, but no credit score check; no prior employer contact",True,"Online application (30-45 min), FaceTime interviews, background check, orientation online",True,Equipment provided,Cannot move equipment from home,No credit score check and didn't contact past employers. Amazon is more about getting a feel for you
2,Alorica,Remote Customer Service Representative,$15-$17/hr,Low - Hires almost anyone,Yes (standard),True,"Online application, typing test (85+ wpm recommended), phone interview, training week online",True,Very easy hiring (hires with almost any background),Training inadequate (thrown to wolves),Alorica hires just about anyone with a pulse. A lot of staff are older and barely computer literate.
3,Concentrix,Customer Service Advisor / Technical Support,$15-$18/hr,Medium - Has camera requirement; micromanaging culture,Yes,False,"Online application, assessment, phone interview, background check",True,Equipment provided,"EXTREMELY micromanaged (no phones, no snacks at desk)","Like a prison. Excessive micromanagement. No phones allowed, no snacks. Staring at screen 9 hours."
4,TTEC,Call Center Representative (Remote),$15-$18/hr,Low - Entry-level friendly,Yes (standard),True,"Online application, phone interview, background check, paid training",True,Great team environment,Low pay without commission,Job was easy but dull. Great team environment and employee appreciation programs.
5,American Airlines,Remote Customer Service Representative,$16-$19/hr,Low - Fair Chance Pledge signatory,"Yes, but fair chance approach",True,"Online application, phone interview, background check",True,Fair Chance Pledge signatory,Must disclose background at offer stage,American Airlines stated commitment: 'We give people a second chance'
6,Home Depot,Remote Customer Service,$16-$19/hr,Low - Ban the Box,"Yes, but delayed until offer",True,"Online application, interview, background check",True,Major retailer,Background check still required at offer stage,Known to work with candidates with backgrounds if they're right fit
7,Prudential Financial,Remote Customer Service Professional,$17-$20/hr,Low - Fair Chance Pledge signatory,Yes,True,"Online application, phone interview, background check",True,Major financial company,Higher background check standards,Prudential: 'Everyone can participate in opportunities we create'
8,Teletech / Alorica variant,Remote Call Center Agent,$15-$18/hr,Low - Easy hiring,Yes,True,"Quick application, typing test, phone screen, training",True,Quick hiring,Quality varies by division,Easy access to work but quality depends on department
9,ITM Marketing Inc.,Inbound Customer Service,$17.90/hr,Medium - Federal Public Trust background required,Yes (Federal Public Trust),False,"Online application, phone interview, background check (Federal)",True,Stable federal contractor work,Federal background check (more thorough),Federal contractor work is more stable but more background scrutiny
10,Apple Technical Support (Vendor),Apple Technical Support Advisor (Remote),$16-$20/hr,Medium - Technical knowledge required,Yes,False,"Online application, multiple FaceTime interviews (3-4), technical assessment, background check",True,Tech company experience,Repetitive work (just reading articles to customers),Apple tech support is absolutely hell. Training was useless. Just read the online support articles t
11,Scribie,Transcriptionist,$20-$25/hr (estimated from per-minute),Low - No experience required,No,True,"Online application, sample transcription test, acceptance usually same day",True,No background check,Pay based on per-minute (not hourly),"Straightforward pay structure, accurate human-verified transcripts, quick turnaround."
12,GoTranscript,Transcriber,$15-$25/hr (estimated from per-minute rates),Low - Entry-level friendly,No,True,"Online application, transcription test, acceptance within days",True,No background check,Pay per minute (not hourly),Outstanding transcription service with excellent customer support representatives.
13,Appen,Data Annotator / Web Search Evaluator / Rater,$18-$25/hr (varies by project),Low - Open to entry-level,No,True,"Online application, multiple project applications, qualification tests",True,No background check,Inconsistent work availability,Appen is best for getting incentives for tasks. Friendly user interface.
14,Lionbridge (Now Appen-owned),Search Engine Evaluator / Data Rater,$18-$25/hr,Low - Entry-level positions available,No,True,"Online application, rating test, quick acceptance",True,No background check,Inconsistent availability,Lionbridge was bought by Appen. Can't work for both on same project or you get fired.
15,Rev.com,Transcriptionist / Captioner,$20-$35/hr (estimated),Low - No experience required,No,True,"Online application, sample transcription, quick decision",True,No background check,No hourly rate (per project),Professional transcription service with competitive pay
16,TranscribeMe,Transcriber,$20-$30/hr (estimated),Low,No,True,"Online application, sample transcription, acceptance within days",True,No background check,"Pay per minute, not hourly",Good for flexible transcription work
17,UserTesting.com,Website Tester / UX Tester,$10-$60 per test (10-60 min tests),Low - No special skills required,No,True,"Online application, screener test, invitation to take tests",True,No background check,Not consistent income ($100-300/month typical),"Get 10 tests per month on average. Some tests worth it, many screened out."
18,Earnhaus / Survey sites,Survey Respondent / Data Collector,$5-$50 per survey,Very Low - Anyone can do,No,True,"Register online, complete surveys, get paid",True,Zero barrier to entry,Very low pay ($5-$50 average),"Good for supplemental income, not primary. Some legitimate options available."
