job_id,title,company,location,wage_range,type,employer_type,match_score,category,transferable_skills,notes
1,Remote Data Entry Clerk,Earn Haus,Remote,$20-$30/hr,Remote/Flexible,Fair Chance,Excellent,Data Entry/Remote,"Attention to detail, accuracy (kitchen background)","No experience required, flexible schedule, immediate start"
2,Data Entry Specialist,Honest Jobs Network,Remote,$22-$28/hr,Full-time Remote,Fair Chance,Excellent,Data Entry/Remote,"Organization, multi-tasking","300k+ verified positions, no food service required"
3,Data Processing Associate,GEO Reentry Connect,Remote,$20-$26/hr,Full-time Remote,Fair Chance,Excellent,Data Entry/Remote,"Systematic thinking, accuracy","Reentry-specialized, career pivot support"
4,Medical Records Data Entry,Healthcare Fair Chance Employers,Remote/Hybrid,$20-$27/hr,Full-time,Fair Chance,Excellent,Data Entry/Remote,"Detail-oriented, follows protocols","Growing field, entry-level, remote options"
5,Customer Service Representative (Remote),Multiple Fair Chance Employers,Remote,$20-$25/hr,Full-time Remote,Fair Chance,Good,Customer Service (Non-Food),"Communication, problem-solving",Customer interaction without food service
6,Content Moderator,Honest Jobs Network,Remote,$22-$27/hr,Full-time Remote,Fair Chance,Good,Data Entry/Remote,"Critical thinking, strategic analysis","Decision-making, judgment-focused"
7,Email Support Specialist,Honest Jobs Platform,Remote,$20-$24/hr,Full-time Remote,Fair Chance,Good,Customer Service (Non-Food),"Communication, customer care","Low-stress, written communication"
8,Data Quality Analyst,Fair Chance Tech Company,Remote,$23-$30/hr,Full-time Remote,Fair Chance,Excellent,Data Entry/Remote,"Accuracy, systems thinking","Analytical work, high growth field"
9,Survey Research Specialist,Earn Haus,Remote,$20-$22/hr (plus bonuses),Flexible/Part-time,Fair Chance Gig,Good,Data Entry/Remote,"Assessment, analysis","$5-$50 per survey, flexible timing"
10,Transcriptionist,Remote Transcription Services,Remote,$20-$26/hr,Flexible,Gig Economy,Good,Data Entry/Remote,"Attention to detail, focus","Flexible, listening skills valued"
11,Chat Support Agent,Second Chance Employer Networks,Remote,$20-$23/hr,Full-time Remote,Fair Chance,Good,Customer Service (Non-Food),"Communication, quick responses",Text-based customer interaction
12,Virtual Assistant,Remote Freelance Platform,Remote,$20-$32/hr,Contract/Gig,Gig Economy,Good,Administrative/Office,"Organization, management experience","Administrative support, flexible"
13,Administrative Assistant (Remote),Second Chance Business Coalition Member,Remote,$21-$28/hr,Full-time Remote,Fair Chance,Good,Administrative/Office,"Leadership, coordination, scheduling","Office support role, leverages management background"
14,Inventory Database Manager (Remote),Fair Chance Logistics,Remote,$21-$28/hr,Full-time Remote,Fair Chance,Good,Data Entry/Remote,Systems optimization (from food waste/inventory background),"System management, data-focused"
15,Freelance Writer/Editor,Upwork/Fiverr (Verified),Remote,$20-$40/hr,Gig/Freelance,Gig Economy,Good,Freelance/Creative,"Strategic thinking, communication","Creative outlet, builds portfolio"
16,Online Tutor (Business/General),Chegg/Tutor.com,Remote,$20-$28/hr,Flexible/Gig,Gig Economy,Good,Education/Tutoring,"Teaching, mentoring (10 years trainer experience)",Community college background helpful
17,Social Media Content Creator,Small Business/Freelance,Remote,$20-$35/hr,Gig/Freelance,Gig Economy,Good,Freelance/Creative,"Strategic thinking, psychology insight","Creative, flexible, growth field"
18,Quality Assurance Tester (Remote),Tech Fair Chance Programs,Remote,$22-$29/hr,Full-time Remote,Fair Chance,Good,Tech/Testing,"Attention to detail, quality assurance","Logical thinking, systematic approach"
19,Freelance Project Manager,Upwork,Remote,$25-$35/hr,Gig/Freelance,Gig Economy,Excellent,Administrative/Office,"Management, coordination, strategy",Leadership experience directly transferable
20,Business Operations Coordinator (Remote),Fair Chance Businesses,Remote,$22-$29/hr,Full-time Remote,Fair Chance,Excellent,Administrative/Office,"Strategic planning, operations",Operations background from management
21,Customer Relationship Manager (CRM) Support,Fair Chance Tech,Remote/Hybrid,$21-$27/hr,Full-time,Fair Chance,Good,Customer Service (Non-Food),"Systems, customer psychology",Database + customer interaction
22,Scheduling Coordinator,Healthcare/Corporate Fair Chance,Remote/Hybrid,$20-$25/hr,Full-time,Fair Chance,Good,Administrative/Office,"Organization, multi-tasking",Scheduling expertise from kitchen management
23,Data Analyst (Entry-Level),Tech Training Through Defy Ventures,Remote/Portland Area,$24-$32/hr,Full-time,Fair Chance Training,Excellent,Tech/Data Science,"Strategic thinking, analysis","Training provided, aligns with growth goals"
24,Business Analyst (Entry-Level),Consulting Fair Chance Firms,Remote/Hybrid,$23-$30/hr,Full-time,Fair Chance,Good,Tech/Data Science,"Systems analysis, strategy","Analytical work, problem-solving"
25,Research Analyst,Market Research Fair Chance,Remote,$21-$28/hr,Full-time Remote,Fair Chance,Good,Research/Analysis,"Analytical, psychological insight",Psychology/economics interest alignment
26,Warehouse Worker,Second Chance Business Coalition (50+ companies),Portland/Hillsboro Metro,$20-$26/hr,Full-time,Fair Chance,Excellent,Warehouse/Logistics,"Physical labor, logistics",Directly aligns with UPS loader experience
27,Order Picker,Amazon/Fulfillment Centers,Portland Metro,$20-$25/hr,Full-time,Fair Chance,Excellent,Warehouse/Logistics,"Speed, accuracy, organization",Known to hire individuals with records
28,Production Associate,Manufacturing/Fair Chance,Portland/Hillsboro,$21-$27/hr,Full-time,Fair Chance,Excellent,Manufacturing/Production,"Precision, focus, attention to detail",Hands-on manufacturing work
