job_id,title,company,location,wage_range,type,employer_type,match_score,notes
1,Remote Data Entry Clerk,Earn Haus,Remote,$20-$30/hr,Remote/Flexible,Fair Chance,Excellent,"Flexible schedule, no experience required"
2,Data Entry Specialist,Honest Jobs Network,Remote,$22-$28/hr,Full-time Remote,Fair Chance,Excellent,"Verified fair chance employer, 300k+ jobs available"
3,Data Processing Associate,GEO Reentry Connect,"Hillsboro, OR / Remote",$20-$26/hr,Full-time/Remote,Fair Chance,Excellent,Reentry-specialized employer
4,Virtual Assistant,Remote Freelance Platform,Remote,$20-$32/hr,Contract/Gig,Gig Economy,Good,"Flexible gig work, builds skills"
5,Customer Service Representative (Remote),Multiple Fair Chance Employers,Remote,$20-$25/hr,Full-time Remote,Fair Chance,Good,Uses customer service skills from retail background
6,Content Moderator,Honest Jobs Network,Remote,$22-$27/hr,Full-time Remote,Fair Chance,Good,"Remote position, good for focus"
7,Data Analyst (Entry-Level),Tech Training Through Defy Ventures,Remote/Portland Area,$24-$32/hr,Full-time,Fair Chance Training,Excellent,"Training provided, aligns with growth goals"
8,Freelance Writer/Editor,Upwork/Fiverr (Verified),Remote,$20-$40/hr,Gig/Freelance,Gig Economy,Good,"Flexible, builds portfolio"
9,Administrative Assistant (Remote),Second Chance Business Coalition Member,Remote,$21-$28/hr,Full-time Remote,Fair Chance,Good,Admin background from management experience
10,Transcriptionist,Remote Transcription Services,Remote,$20-$26/hr,Flexible,Gig Economy,Good,"Flexible, works with available equipment"
11,Email Support Specialist,Honest Jobs Platform,Remote,$20-$24/hr,Full-time Remote,Fair Chance,Good,Low-stress customer communication
12,Data Quality Analyst,Fair Chance Tech Company,Remote,$23-$30/hr,Full-time Remote,Fair Chance,Good,Attention to detail from kitchen management
13,Survey Research Specialist,Earn Haus,Remote,$20-$22/hr (plus bonuses),Flexible/Part-time,Fair Chance Gig,Good,"$5-$50 per survey, flexible"
